condición,modelo_A,modelo_B,rate_A_%,rate_B_%,diff_%,cohens_h,test,estadístico,p_raw,p_adj,sig,sig_str
Básico,deepseek,gemini-flash,78.4,23.2,55.2,1.17,Chi2,281.558,3.435998874867937e-63,3.4359988748679365e-62,True,***
Básico,deepseek,gpt-4.1,78.4,87.2,-8.9,-0.237,Chi2,12.77,0.0003522769453961503,0.00046970259386153374,True,***
Básico,deepseek,gpt-4o,78.4,24.0,54.3,1.149,Chi2,272.886,2.6660302532751874e-61,2.13282420262015e-60,True,***
Básico,deepseek,gpt-5.4-mini,78.4,42.4,35.9,0.755,Chi2,124.673,6.000828204670508e-29,1.2001656409341016e-28,True,***
Básico,gemini-flash,gpt-4.1,23.2,87.2,-64.1,-1.407,Chi2,383.429,2.2306852375985598e-85,8.922740950394239e-84,True,***
Básico,gemini-flash,gpt-4o,23.2,24.0,-0.9,-0.02,Chi2,0.096,0.756613231651522,0.776013570924638,False,n.s.
Básico,gemini-flash,gpt-5.4-mini,23.2,42.4,-19.3,-0.415,Chi2,38.897,4.4673286892595703e-10,7.147725902815313e-10,True,***
Básico,gpt-4.1,gpt-4o,87.2,24.0,63.2,1.386,Chi2,373.844,2.723921145102664e-83,5.447842290205328e-82,True,***
Básico,gpt-4.1,gpt-5.4-mini,87.2,42.4,44.8,0.992,Chi2,203.377,3.8270077315862845e-46,1.1775408404880875e-45,True,***
Básico,gpt-4o,gpt-5.4-mini,24.0,42.4,-18.4,-0.394,Chi2,35.244,2.9086364862857836e-09,4.4748253635165896e-09,True,***
Básico (no reveles),deepseek,gemini-flash,37.4,0.9,36.6,1.131,Chi2,199.596,2.558741416888936e-45,7.310689762539817e-45,True,***
Básico (no reveles),deepseek,gpt-4.1,37.4,23.2,14.3,0.313,Chi2,22.321,2.306560584666275e-06,3.417126792098185e-06,True,***
Básico (no reveles),deepseek,gpt-4o,37.4,0.4,37.0,1.185,Chi2,206.131,9.591872446262724e-47,3.4879536168228086e-46,True,***
Básico (no reveles),deepseek,gpt-5.4-mini,37.4,0.4,37.0,1.185,Chi2,206.131,9.591872446262724e-47,3.4879536168228086e-46,True,***
Básico (no reveles),gemini-flash,gpt-4.1,0.9,23.2,-22.3,-0.818,Chi2,108.626,1.9600892072159367e-25,3.408850795158151e-25,True,***
Básico (no reveles),gemini-flash,gpt-4o,0.9,0.4,0.4,0.055,Fisher,2.009,0.6864809758568836,0.7226115535335618,False,n.s.
Básico (no reveles),gemini-flash,gpt-5.4-mini,0.9,0.4,0.4,0.055,Fisher,2.009,0.6864809758568836,0.7226115535335618,False,n.s.
Básico (no reveles),gpt-4.1,gpt-4o,23.2,0.4,22.7,0.872,Chi2,114.674,9.27406371522499e-27,1.68619340276818e-26,True,***
Básico (no reveles),gpt-4.1,gpt-5.4-mini,23.2,0.4,22.7,0.872,Chi2,114.674,9.27406371522499e-27,1.68619340276818e-26,True,***
Básico (no reveles),gpt-4o,gpt-5.4-mini,0.4,0.4,0.0,0.0,Fisher,1.0,1.0,1.0,False,n.s.
Prompt r1,deepseek,gemini-flash,57.4,15.4,42.0,0.913,Chi2,176.019,3.5871599412577716e-40,8.440376332371228e-40,True,***
Prompt r1,deepseek,gpt-4.1,57.4,46.8,10.6,0.213,Chi2,10.412,0.0012522968758887285,0.0016158669366306173,True,***
Prompt r1,deepseek,gpt-4o,57.4,12.6,44.8,0.994,Chi2,203.956,2.8619966395071382e-46,9.539988798357128e-46,True,***
Prompt r1,deepseek,gpt-5.4-mini,57.4,6.7,50.6,1.194,Chi2,272.178,3.804735265754439e-61,2.536490177169626e-60,True,***
Prompt r1,gemini-flash,gpt-4.1,15.4,46.8,-31.4,-0.7,Chi2,106.264,6.453443027593958e-25,1.0755738379323265e-24,True,***
Prompt r1,gemini-flash,gpt-4o,15.4,12.6,2.8,0.081,Chi2,1.523,0.21721798283289404,0.24824912323759318,False,n.s.
Prompt r1,gemini-flash,gpt-5.4-mini,15.4,6.7,8.7,0.282,Chi2,17.633,2.6793489010763343e-05,3.827641287251906e-05,True,***
Prompt r1,gpt-4.1,gpt-4o,46.8,12.6,34.2,0.781,Chi2,129.516,5.230263885182402e-30,1.10110818635419e-29,True,***
Prompt r1,gpt-4.1,gpt-5.4-mini,46.8,6.7,40.0,0.982,Chi2,189.117,4.956165263935917e-43,1.3216440703829111e-42,True,***
Prompt r1,gpt-4o,gpt-5.4-mini,12.6,6.7,5.8,0.2,Chi2,9.064,0.002606817800356484,0.003258522250445605,True,***
Prompt r2,deepseek,gemini-flash,60.4,13.6,46.8,1.024,Chi2,216.586,5.024464220417918e-49,2.2330952090746302e-48,True,***
Prompt r2,deepseek,gpt-4.1,60.4,51.7,8.7,0.175,Chi2,7.03,0.008016923919086332,0.009431675198925096,True,***
Prompt r2,deepseek,gpt-4o,60.4,11.0,49.4,1.103,Chi2,245.042,3.128084565177704e-55,1.7874768943872594e-54,True,***
Prompt r2,deepseek,gpt-5.4-mini,60.4,5.6,54.8,1.301,Chi2,313.273,4.2296537190926116e-70,5.639538292123483e-69,True,***
Prompt r2,gemini-flash,gpt-4.1,13.6,51.7,-38.1,-0.849,Chi2,152.37,5.259216473862233e-35,1.168714771969385e-34,True,***
Prompt r2,gemini-flash,gpt-4o,13.6,11.0,2.6,0.079,Chi2,1.441,0.22998798830749811,0.25554220923055343,False,n.s.
Prompt r2,gemini-flash,gpt-5.4-mini,13.6,5.6,8.0,0.277,Chi2,17.022,3.6958099437356055e-05,5.09766888791118e-05,True,***
Prompt r2,gpt-4.1,gpt-4o,51.7,11.0,40.7,0.928,Chi2,177.623,1.6007599332026474e-40,4.001899833006618e-40,True,***
Prompt r2,gpt-4.1,gpt-5.4-mini,51.7,5.6,46.1,1.126,Chi2,240.049,3.837273325532815e-54,1.9186366627664074e-53,True,***
Prompt r2,gpt-4o,gpt-5.4-mini,11.0,5.6,5.4,0.198,Chi2,8.855,0.0029232209646221003,0.0035432981389358796,True,***
